time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,12,6,64.0,3.0
2025-03-03 00:00:00+00:00,19,8,37.0,5.0
2025-03-04 00:00:00+00:00,4,3,62.0,6.0
2025-03-05 00:00:00+00:00,5,3,54.0,5.0
2025-03-06 00:00:00+00:00,6,3,34.0,3.0
2025-03-07 00:00:00+00:00,10,5,11.0,2.0
2025-03-08 00:00:00+00:00,7,4,1.0,1.0
2025-03-09 00:00:00+00:00,4,2,12.0,4.0
2025-03-10 00:00:00+00:00,5,3,10.0,4.0
2025-03-11 00:00:00+00:00,3,3,11.0,5.0
2025-03-12 00:00:00+00:00,1,1,9.0,4.0
2025-03-13 00:00:00+00:00,2,2,24.0,3.0
2025-03-14 00:00:00+00:00,3,2,8.0,2.0
2025-03-15 00:00:00+00:00,4,1,,
