time_iso8601,stars_cumulative
2020-08-17 00:00:00+00:00,1
2020-10-09 00:00:00+00:00,2
2021-01-14 00:00:00+00:00,3
2021-02-01 00:00:00+00:00,4
2021-03-08 00:00:00+00:00,5
2021-03-18 00:00:00+00:00,6
2021-03-25 00:00:00+00:00,7
2021-05-10 00:00:00+00:00,8
2022-01-10 00:00:00+00:00,9
2022-01-13 00:00:00+00:00,10
2022-04-18 00:00:00+00:00,11
2022-11-01 00:00:00+00:00,12
2023-01-31 00:00:00+00:00,13
2023-02-26 00:00:00+00:00,14
2023-03-01 00:00:00+00:00,15
2023-03-06 00:00:00+00:00,16
2023-04-04 00:00:00+00:00,17
2023-07-14 00:00:00+00:00,18
2023-07-27 00:00:00+00:00,19
2023-08-25 00:00:00+00:00,21
